20170101090251 8CAB8EB16418 68:3e:34:d6:5b:3d http://archive-shop.vip.com/detail-0-148079952.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-150013955.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-149143581.html
20170101104654 8CAB8EB40D70 00:e0:4c:21:c6:e5 http://archive-shop.vip.com/detail-0-147860633.html
20170101105603 8CAB8E9963E8 d8:1d:72:d8:3a:db http://archive-shop.vip.com/detail-0-148230409.html
20170101105603 8CAB8E9963E8 d8:1d:72:d8:3a:db http://archive-shop.vip.com/detail-0-148397744.html
20170101105748 006B8EE3D530 80:be:05:43:1b:7a http://archive-shop.vip.com/detail-0-151630853.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149526038.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149703986.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149714637.html
20170101152852 8CAB8ECD2A78 68:f7:28:01:5b:ac http://archive-shop.vip.com/detail-0-147376782.html
20170101165919 8CAB8EC1D2F0 44:00:10:b1:96:f8 http://archive-shop.vip.com/detail-0-149247186.html
20170101165846 CC81DA03E438 fc:1a:11:62:57:3c http://archive-shop.vip.com/detail-0-150771362.html
20170101105208 8CAB8EAA40E8 68:3e:34:67:3e:83 http://archive-shop.vip.com/detail-0-147591662.html
20170101101239 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-148959354.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149703828.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149703823.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149704051.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149767399.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149912196.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149913284.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149913508.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149970784.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-150013949.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-148931784.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-149143549.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-149143547.html
20170101104051 8CAB8EFBAA90 cc:2d:83:ee:36:fe http://archive-shop.vip.com/detail-0-147988674.html
20170101104051 8CAB8EFBAA90 cc:2d:83:ee:36:fe http://archive-shop.vip.com/detail-0-148970267.html
20170101104141 8CAB8EF1DCF0 68:3e:34:be:80:35 http://archive-shop.vip.com/detail-0-147855730.html
20170101104436 8CAB8EEB9640 c8:25:e1:3a:01:99 http://archive-shop.vip.com/detail-0-147990184.html
20170101170006 8CAB8EB40D70 00:e0:4c:21:c6:e5 http://archive-shop.vip.com/detail-0-151632896.html
20170101104423 8CAB8EF5C8C8 f8:23:b2:93:4e:6e http://archive-shop.vip.com/detail-0-149821628.html
20170101104436 8CAB8EEB9640 c8:25:e1:3a:01:99 http://archive-shop.vip.com/detail-0-150458549.html
20170101104436 8CAB8EEB9640 c8:25:e1:3a:01:99 http://archive-shop.vip.com/detail-0-150459027.html
20170101104436 8CAB8EEB9640 c8:25:e1:3a:01:99 http://archive-shop.vip.com/detail-0-151479865.html
20170101104934 8CAB8EEC9308 9c:fb:d5:5d:cb:46 http://archive-shop.vip.com/detail-0-151462684.html
20170101105208 8CAB8EAA40E8 68:3e:34:67:3e:83 http://archive-shop.vip.com/detail-0-150192865.html
20170101105211 8CAB8EBCE418 00:24:1d:84:6a:74 http://archive-shop.vip.com/detail-0-151398938.html
20170101105211 8CAB8EBCE418 00:24:1d:84:6a:74 http://archive-shop.vip.com/detail-0-151401912.html
20170101105211 8CAB8EBCE418 00:24:1d:84:6a:74 http://archive-shop.vip.com/detail-0-151502851.html
