20170131182903 8CAB8EAA6D18 4c:bb:58:d9:2c:b6 http://archive-shop.vip.com/detail-1039032-158977677.html
20170130215253 8CAB8EED92C0 00:e0:61:19:1b:58 http://archive-shop.vip.com/detail-48342-5642877.html
20170130192516 8CAB8E8AA1D8 f0:79:59:5a:f7:f3 http://archive-shop.vip.com/detail-1-23532716.html
20170129224600 8CAB8EF79430 00:19:d2:c3:09:35 http://archive-shop.vip.com/detail-545063-73762355.html
20170130171006 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1044850-155190895.html
20170129223754 CC81DA04DFC8 60:6d:c7:a3:cc:b1 http://archive-shop.vip.com/detail-272306-36020823.html
20170130172835 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1057779-159668228.html
20170130171006 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1044850-155190567.html
20170129225453 CC81DA04DFC8 60:6d:c7:a3:cc:b1 http://archive-shop.vip.com/detail-272306-36020823.html
20170129233358 8CAB8EC5D188 1c:6f:65:8d:a7:71 http://archive-shop.vip.com/detail-1039018-160021086.html
20170130205940 8CAB8EC5D188 1c:6f:65:8d:a7:71 http://archive-shop.vip.com/detail-1039018-160020690.html
20170130172835 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1057779-159668165.html
20170130172835 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1044850-155190801.html
20170129224600 8CAB8EF79430 00:19:d2:c3:09:35 http://archive-shop.vip.com/detail-609357-83475285.html
20170130171006 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1044850-155190614.html
20170130172835 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1044850-155190952.html
20170130172835 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1044850-155190895.html
20170129224136 8CAB8EA2AD10 64:b0:a6:a7:6a:34 http://archive-shop.vip.com/detail-958880-140253626.html
20170130172835 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1031846-155722414.html
20170130171006 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1060025-158000918.html
20170130172835 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1044850-155190567.html
20170130172835 8CAB8EA489D0 74:df:bf:29:f1:61 http://archive-shop.vip.com/detail-1044850-155190695.html
