('153433414', '20170112103002', 'CC81DA299850', '54:04:a6:32:1f:83', 'http://archive-shop.vip.com/detail-1016089-153433414.html', 'vip', u'\u674e\u5b81\u7537\u6b3e\u65b0\u57fa\u7840\u9ed1/\u767d\u8f7b\u8d28\u8dd1\u978b \u8212\u9002\u7545\u8dd1', u'\u7537\u6b3e\u8dd1\u6b65\u978b', u'\u674e\u5b81\u6d3b\u529b\u6f6e\u642d\u7537\u58eb\u4e13\u573a') ('153433414', datetime.datetime(2017, 3, 15, 2, 43, 18, 458033), u'70')
('153913379', '20170112091630', '8CAB8EFE4C48', '00:e0:4c:d9:22:e6', 'http://archive-shop.vip.com/detail-1019639-153913379.html', 'vip', u'\u767d\u9e7f\u8bed\u7070\u8272\u65f6\u5c1a\u8fde\u5e3d90\u7ed2\u7fbd\u7ed2\u670d', u'\u5973\u5f0f\u7fbd\u7ed2\u670d', u'\u767d\u9e7f\u8bed\u5973\u88c5\u4e13\u573a') ('153913379', datetime.datetime(2017, 3, 15, 2, 43, 18, 453737), u'799')
('154377243', '20170112090928', '8CAB8ECD5D48', '18:cf:5e:1c:0c:a8', 'http://archive-shop.vip.com/detail-1016123-154377243.html', 'vip', u'\u539f\u70b9\u6d45\u84dd\u8272\u65af\u6587\u6a3d\u9886\u957f\u8896\u9488\u7ec7\u886b', u'\u5973\u5f0f\u6bdb\u8863', u'\u539f\u70b9\u5973\u88c5\u4e13\u573a') ('154377243', datetime.datetime(2017, 3, 15, 2, 43, 18, 443751), u'109')
('151974959', '20170112102126', '8CAB8EF09A60', '00:1e:33:e3:e8:b7', 'http://archive-shop.vip.com/detail-1018508-151974959.html', 'vip', u'\u7f8e\u53ef\u99a8\u7f8e\u53ef\u99a8\u9ed1\u5de7\u514b\u529b\u6392\u5757*2', u'\u8fdb\u53e3\u9ed1\u5de7\u514b\u529b', u'\u4e2d\u5916\u7f8e\u98df\u835f\u8403\u4e13\u573a') ('151974959', datetime.datetime(2017, 3, 15, 2, 43, 18, 434510), u'38')
('153429741', '20170112103002', 'CC81DA299850', '54:04:a6:32:1f:83', 'http://archive-shop.vip.com/detail-1016089-153429741.html', 'vip', u'\u674e\u5b81\u7537\u6b3e\u9ed1/\u767d/\u51b7\u7070\u8f7b\u8d28\u8dd1\u978b \u8fd0\u52a8\u8212\u9002', u'\u7537\u6b3e\u8dd1\u6b65\u978b', u'\u674e\u5b81\u6d3b\u529b\u6f6e\u642d\u7537\u58eb\u4e13\u573a') ('153429741', datetime.datetime(2017, 3, 15, 2, 43, 18, 399770), u'110')
('153432194', '20170112103002', 'CC81DA299850', '54:04:a6:32:1f:83', 'http://archive-shop.vip.com/detail-1016089-153432194.html', 'vip', u'\u674e\u5b81\u7537\u6b3e\u51b7\u7070/\u8367\u5149\u7eff/\u767d\u51cf\u9707\u8dd1\u978b \u8212\u9002\u7545\u8dd1', u'\u7537\u6b3e\u8dd1\u6b65\u978b', u'\u674e\u5b81\u6d3b\u529b\u6f6e\u642d\u7537\u58eb\u4e13\u573a') ('153432194', datetime.datetime(2017, 3, 15, 2, 43, 18, 360868), u'109')
('153954073', '20170112003148', '8CAB8EABDA38', '08:10:79:56:9c:1e', 'http://archive-shop.vip.com/detail-1040614-153954073.html', 'vip', u'\u6469\u5229\u65af\u57fa\u610f\u5927\u5229\u8fdb\u53e3\u9ed1\u8272\u9cc4\u9c7c\u76ae\u7cfb\u5e26\u7ecf\u5178\u5546\u52a1\u978b', u'\u7537\u5f0f\u5546\u52a1\u978b', u'\u610f\u5927\u5229\u54c1\u724c\u7537\u5973\u978b\u6df7\u5408\u4e13\u573a') ('153954073', datetime.datetime(2017, 3, 15, 2, 43, 18, 305901), u'9998')
('153587283', '20170112123314', '8CAB8EEBB108', '74:f0:6d:94:33:41', 'http://archive-shop.vip.com/detail-980809-153587283.html', 'vip', u'\u521d\u8bed\u5b57\u6bcd\u7ee3\u82b1\u7834\u6d1e\u987b\u8fb9\u4e5d\u5206\u88e4\u725b\u4ed4\u88e4\u725b\u4ed4\u84dd', u'\u5973\u5f0f\u725b\u4ed4\u88e4', u'\u521d\u8bed\u5973\u88c5\u4e13\u573a') ('153587283', datetime.datetime(2017, 3, 15, 2, 43, 18, 228528), u'198')
('153887818', '20170112091630', '8CAB8EFE4C48', '00:e0:4c:d9:22:e6', 'http://archive-shop.vip.com/detail-1016535-153887818.html', 'vip', u'\u84dd\u8272\u5929\u7a7a\u9ed1\u8272 \u5973\u58eb\u4e2d\u957f\u6b3e\u7fbd\u7ed2\u670d', u'\u5973\u5f0f\u7fbd\u7ed2\u670d', u'\u84dd\u8272\u5929\u7a7aMBSKY\u5973\u88c5\u4e13\u573a') ('153887818', datetime.datetime(2017, 3, 15, 2, 43, 18, 196039), u'399')
('154377268', '20170112090928', '8CAB8ECD5D48', '18:cf:5e:1c:0c:a8', 'http://archive-shop.vip.com/detail-1016123-154377268.html', 'vip', u'\u539f\u70b9\u6d45\u7c89\u8272\u7b80\u7ea6\u5706\u9886\u9488\u7ec7\u886b', u'\u5973\u5f0f\u6bdb\u8863', u'\u539f\u70b9\u5973\u88c5\u4e13\u573a') ('154377268', datetime.datetime(2017, 3, 15, 2, 43, 18, 174961), u'99')
('153936656', '20170112072712', '006B8EE30F70', '00:e0:66:63:80:25', 'http://archive-shop.vip.com/detail-1015177-153936656.html', 'vip', u'\u767e\u5e74\u7eaa\u5ff5\u3010\u6625\u4e0a\u65b0\u3011\u5c16\u5934\u5957\u811a\u9632\u6c34\u53f0\u4f11\u95f2\u978b', u'\u5973\u5f0f\u4f11\u95f2\u978b', u'\u767e\u5e74\u7eaa\u5ff5Centenary\u5973\u978b\u4e13\u573a') ('153936656', datetime.datetime(2017, 3, 15, 2, 43, 18, 154592), u'152')
