('153618909', '20170113154458', 'CC81DA092698', '40:c6:2a:82:42:3d', 'http://archive-shop.vip.com/detail-1019672-153618909.html', 'vip', '\xe6\xac\xa7\xe7\x90\xa6\xe8\x94\x93\xe7\x89\x9b\xe7\x9a\xae\xe7\x9a\xae\xe8\xb4\xa8\xe6\x8b\xbc\xe6\x8e\xa5\xe5\x9d\xa1\xe8\xb7\x9f\xe7\xb3\xbb\xe5\xb8\xa6\xe7\x9f\xad\xe9\x9d\xb4', '\xe5\xa5\xb3\xe5\xbc\x8f\xe9\x9d\xb4\xe5\xad\x90', '\xe6\xac\xa7\xe7\x90\xa6\xe8\x94\x93OCCAMAN\xe5\xa5\xb3\xe9\x9e\x8b\xe4\xb8\x93\xe5\x9c\xba') ('153618909', datetime.datetime(2017, 3, 14, 23, 23, 36, 766713), '236')
('152714357', '20170112133901', '8CAB8EC6A370', 'b8:97:5a:95:b7:5b', 'http://archive-shop.vip.com/detail-1014784-152714357.html', 'vip', '\xe9\xaa\x86\xe9\xa9\xbc\xe9\x9d\x92\xe6\x98\xa5\xe6\xb4\xbb\xe5\x8a\x9b\xe6\x97\xb6\xe5\xb0\x9a\xe4\xbf\x9d\xe6\x9a\x96 \xe9\x95\xbf\xe8\xa2\x96\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d\xe9\xbb\x91\xe8\x89\xb2', '\xe7\x94\xb7\xe5\xbc\x8f\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe9\xaa\x86\xe9\xa9\xbcCAMEL\xe7\x94\xb7\xe8\xa3\x85\xe7\x89\xb9\xe5\x8d\x96\xe6\x97\x97\xe8\x88\xb0\xe5\xba\x97') ('152714357', datetime.datetime(2017, 3, 14, 23, 23, 36, 736401), '398')
('154423339', '20170113173955', '8CAB8EE55988', '3c:46:d8:85:d9:44', 'http://archive-shop.vip.com/detail-1016611-154423339.html', 'vip', '\xe5\xaf\xb9\xe7\x99\xbd\xe7\x99\xbd\xe8\x89\xb2\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe5\xa5\xb3\xe5\xbc\x8f\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe5\xaf\xb9\xe7\x99\xbd\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('154423339', datetime.datetime(2017, 3, 14, 23, 23, 36, 543835), '431')
('154191109', '20170113022212', 'CC81DA0D5F70', '14:cf:92:0e:f7:27', 'http://archive-shop.vip.com/detail-1014307-154191109.html', 'vip', '\xe6\xa2\xa6\xe8\x8a\xad\xe8\x8e\x8e\xe5\xae\x9a\xe4\xbd\x8d\xe5\x8d\xb0\xe8\x8a\xb1\xe5\x9c\x86\xe9\xa2\x86\xe9\x95\xbf\xe6\xac\xbe\xe6\xa3\x89\xe6\x9c\x8d(\xe9\x85\x8d\xe9\x80\x81\xe5\x9b\xb4\xe5\xb7\xbe)\xe9\xbb\x91\xe8\x89\xb2', '\xe5\xa5\xb3\xe5\xbc\x8f\xe6\xa3\x89\xe8\xa1\xa3', '\xe6\xa2\xa6\xe8\x8a\xad\xe8\x8e\x8eMoonbasa\xe5\x9b\xbd\xe9\x99\x85\xe5\xbf\xab\xe6\x97\xb6\xe5\xb0\x9a\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('154191109', datetime.datetime(2017, 3, 14, 23, 23, 36, 532541), '179')
('153987655', '20170112201238', '8CAB8EFA36A0', '40:8d:5c:20:58:d5', 'http://archive-shop.vip.com/detail-1015539-153987655.html', 'vip', '\xe6\xb3\xa2\xe5\x8f\xb8\xe7\x99\xbb\xe5\xa5\xb3\xe6\xac\xbe\xe5\x8a\xa0\xe5\x8e\x9a\xe4\xbf\xae\xe8\xba\xab\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d\xe6\xb5\x93\xe8\x8c\xb6\xe7\xbb\xbf', '\xe5\xa5\xb3\xe5\xbc\x8f\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe6\xb3\xa2\xe5\x8f\xb8\xe7\x99\xbbBOSIDENG\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('153987655', datetime.datetime(2017, 3, 14, 23, 23, 36, 396237), '799')
('153385370', '20170112190348', '8CAB8EC6A370', 'b8:97:5a:95:b7:5b', 'http://archive-shop.vip.com/detail-1014603-153385370.html', 'vip', 'FORTEI\xe7\x94\xb7\xe5\xa3\xab\xe8\xbd\xbb\xe8\x96\x84\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d\xe5\x85\xb0\xe8\x89\xb2', '\xe7\x94\xb7\xe5\xbc\x8f\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe5\xaf\x8c\xe9\x93\xa4Fortei\xe7\x94\xb7\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('153385370', datetime.datetime(2017, 3, 14, 23, 23, 36, 393278), '368')
('153999743', '20170114100242', '8CAB8EF09A60', '00:1e:33:e3:e8:b7', 'http://archive-shop.vip.com/detail-1009769-153999743.html', 'vip', '\xe6\x89\x80\xe5\x9c\xa8\xe7\x89\x9b\xe4\xbb\x94\xe8\x93\x9d\xe6\x8b\xbc\xe6\x8e\xa5\xe6\xb0\xb4\xe6\xb4\x97\xe7\xa3\xa8\xe7\x99\xbd\xe7\x89\x9b\xe4\xbb\x94\xe5\x8d\x8a\xe8\xba\xab\xe8\xa3\x99', '\xe5\x8d\x8a\xe6\x88\xaa\xe8\xa3\x99', '\xe6\x89\x80\xe5\x9c\xa8here\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('153999743', datetime.datetime(2017, 3, 14, 23, 23, 36, 390105), '139')
('154897103', '20170113210157', '8CAB8ED466A0', 'b4:ae:2b:cd:3e:4c', 'http://archive-shop.vip.com/detail-1031051-154897103.html', 'vip', '\xe4\xb8\x9d\xe8\x95\xb4 \xe6\xb7\xb1\xe5\xb1\x82\xe5\xa5\x97\xe8\xa3\x85', '\xe6\xb4\x97\xe6\x8a\xa4\xe5\xa5\x97\xe8\xa3\x85', '\xe4\xb8\x9d\xe8\x95\xb4Syoss\xe6\xb4\x97\xe6\x8a\xa4\xe5\x8f\x91\xe4\xb8\x93\xe5\x9c\xba') ('154897103', datetime.datetime(2017, 3, 14, 23, 23, 36, 389636), '58')
('153998405', '20170112231743', '8CAB8EDF5598', '28:c2:dd:10:53:49', 'http://archive-shop.vip.com/detail-1016516-153998405.html', 'vip', '\xe9\x87\x91\xe8\x8f\x8a\xe5\x9c\x86\xe9\xa2\x86\xe6\x96\xaf\xe6\x96\x87\xe6\xb0\x94\xe8\xb4\xa8\xe9\x95\xbf\xe8\xa2\x96\xe5\xb1\xb1\xe7\xbe\x8a\xe7\xbb\x92\xe8\xa1\xab', '\xe5\xa5\xb3\xe5\xbc\x8f\xe6\xaf\x9b\xe8\xa1\xa3', '\xe9\x87\x91\xe8\x8f\x8a\xe7\xbe\x8a\xe6\xaf\x9b\xe7\x94\xb7\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('153998405', datetime.datetime(2017, 3, 14, 23, 23, 36, 254773), '399')
('154907890', '20170113212849', 'AC220BC2B83E', '14:b9:68:48:c2:99', 'http://archive-shop.vip.com/detail-1020444-154907890.html', 'vip', '\xe4\xb8\xb8\xe7\xbe\x8e \xe5\xbc\xb9\xe5\x8a\x9b\xe8\x9b\x8b\xe7\x99\xbd\xe5\x87\x9d\xe6\x97\xb6\xe7\xb4\xa7\xe8\x87\xb4\xe9\x9d\xa2\xe8\x86\x9c6\xe7\x89\x87/\xe7\x9b\x92', '\xe9\x9d\xa2\xe8\x86\x9c', '\xe4\xb8\xb8\xe7\xbe\x8eMARUBI\xe6\x8a\xa4\xe8\x82\xa4\xe4\xb8\x93\xe5\x9c\xba') ('154907890', datetime.datetime(2017, 3, 14, 23, 23, 36, 226792), '58')
('156950354', '20170117200112', '8CAB8EC6A370', 'b8:97:5a:95:b7:5b', 'http://archive-shop.vip.com/detail-1014679-156950354.html', 'vip', 'FORTEI\xe7\x94\xb7\xe5\xa3\xab\xe8\xbd\xbb\xe8\x96\x84\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d\xe5\x85\xb0\xe8\x89\xb2', '\xe7\x94\xb7\xe5\xbc\x8f\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe5\xaf\x8c\xe9\x93\xa4Fortei\xe7\x94\xb7\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('156950354', datetime.datetime(2017, 3, 14, 23, 23, 36, 96505), '368')
